Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated
1,Towson Tigers,127,Maryland Terrapins,92,,,2023-08-30T19:30:00,False,,Big Ten - East,Towson Tigers vs Maryland Terrapins
1,Central Michigan Chippewas,185,Michigan State Spartans,97,-10.0,33.7,2023-08-29T23:00:00,False,Mid-American - West,Big Ten - East,Central Michigan Chippewas vs Michigan State Spartans
1,East Carolina Pirates,9,Michigan Wolverines,95,-24.8,35.4,2023-08-30T16:00:00,False,American Athletic,Big Ten - East,East Carolina Pirates vs Michigan Wolverines
1,Nebraska Cornhuskers,99,Minnesota Golden Gophers,104,-5.2,31.3,2023-08-29T00:00:00,False,Big Ten - West,Big Ten - West,Nebraska Cornhuskers vs Minnesota Golden Gophers
1,South Dakota Coyotes,321,Missouri Tigers,280,,,2023-08-29T00:00:00,False,,SEC - East,South Dakota Coyotes vs Missouri Tigers
1,Mercer Bears,284,Ole Miss Rebels,274,,,2023-08-30T18:00:00,False,,SEC - West,Mercer Bears vs Ole Miss Rebels
1,South Carolina Gamecocks,267,North Carolina Tar Heels,21,-1.7,43.7,2023-08-30T23:30:00,True,SEC - East,Atlantic Coast,South Carolina Gamecocks vs North Carolina Tar Heels
1,Northwestern Wildcats,100,Rutgers Scarlet Knights,103,-4.8,27.9,2023-08-31T16:00:00,False,Big Ten - West,Big Ten - East,Northwestern Wildcats vs Rutgers Scarlet Knights
1,Western Illinois Leathernecks,322,New Mexico State Aggies,344,,,2023-08-31T01:00:00,False,,Conference USA,Western Illinois Leathernecks vs New Mexico State Aggies
1,UMass Minutemen,55,Auburn Tigers,279,-27.5,37.2,2023-08-30T19:30:00,False,FBS Independents,SEC - West,UMass Minutemen vs Auburn Tigers
1,West Virginia Mountaineers,107,Penn State Nittany Lions,101,-14.1,36.1,2023-08-30T23:30:00,False,Big 12,Big Ten - East,West Virginia Mountaineers vs Penn State Nittany Lions
1,Maine Black Bears,17,Florida International Panthers,140,,,2023-08-30T22:30:00,False,,Conference USA,Maine Black Bears vs Florida International Panthers
1,Utah State Aggies,220,Iowa Hawkeyes,91,-16.2,29.9,2023-08-30T16:00:00,False,Mountain West,Big Ten - West,Utah State Aggies vs Iowa Hawkeyes
1,Bowling Green Falcons,181,Liberty Flames,84,-8.6,34.7,2023-08-30T16:00:00,False,Mid-American - East,Conference USA,Bowling Green Falcons vs Liberty Flames
1,Florida International Panthers,140,Louisiana Tech Bulldogs,137,-7.9,40.2,2023-08-24T01:00:00,False,Conference USA,Conference USA,Florida International Panthers vs Louisiana Tech Bulldogs
1,Hawaii Rainbow Warriors,115,Vanderbilt Commodores,273,-11.7,38.2,2023-08-23T23:30:00,False,Mountain West,SEC - East,Hawaii Rainbow Warriors vs Vanderbilt Commodores
1,Alabama A&M Bulldogs,309,Vanderbilt Commodores,273,,,2023-08-30T23:00:00,False,,SEC - East,Alabama A&M Bulldogs vs Vanderbilt Commodores
1,Army Black Knights,263,UL Monroe Warhawks,326,3.6,33.4,2023-08-30T23:00:00,False,FBS Independents,Sun Belt - West,Army Black Knights vs UL Monroe Warhawks
