Week,AwayTeamName,HomeTeamName,PointSpread,OverUnder,FormattedDateTimeEST,DateTimeUTC,NeutralVenue,Conference_away,Conference_home
1,Central Michigan Chippewas,Michigan State Spartans,-9.6,31.0,2023-08-29 07:00 PM,2023-08-29T23:00:00,False,Mid-American - West,Big Ten - East
1,East Carolina Pirates,Michigan Wolverines,-25.1,35.4,2023-08-30 12:00 PM,2023-08-30T16:00:00,False,American Athletic,Big Ten - East
1,Nebraska Cornhuskers,Minnesota Golden Gophers,-4.8,29.6,2023-08-28 08:00 PM,2023-08-29T00:00:00,False,Big Ten - West,Big Ten - West
1,South Carolina Gamecocks,North Carolina Tar Heels,-1.7,44.0,2023-08-30 07:30 PM,2023-08-30T23:30:00,True,SEC - East,Atlantic Coast
1,Northwestern Wildcats,Rutgers Scarlet Knights,-4.5,27.2,2023-08-31 12:00 PM,2023-08-31T16:00:00,False,Big Ten - West,Big Ten - East
1,Fresno State Bulldogs,Purdue Boilermakers,-2.4,32.7,2023-08-30 12:00 PM,2023-08-30T16:00:00,False,Mountain West,Big Ten - West
1,Florida Gators,Utah Utes,-3.1,30.3,2023-08-28 08:00 PM,2023-08-29T00:00:00,False,SEC - East,Pac-12
1,Toledo Rockets,Illinois Fighting Illini,-6.5,31.6,2023-08-30 07:30 PM,2023-08-30T23:30:00,False,Mid-American - West,Big Ten - West
1,LSU Tigers,Florida State Seminoles,1.2,38.9,2023-08-31 07:30 PM,2023-08-31T23:30:00,True,SEC - West,Atlantic Coast
1,California Golden Bears,North Texas Mean Green,3.1,37.2,2023-08-30 04:00 PM,2023-08-30T20:00:00,False,Pac-12,American Athletic
1,UTSA Roadrunners,Houston Cougars,0.7,40.9,2023-08-30 07:00 PM,2023-08-30T23:00:00,False,American Athletic,Big 12
1,South Alabama Jaguars,Tulane Green Wave,-4.5,35.8,2023-08-30 08:00 PM,2023-08-31T00:00:00,False,Sun Belt - West,American Athletic
