Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated,ConferenceConcatenated
1,Towson Tigers,127,Maryland Terrapins,92,-26.1,37.8,2023-08-30T19:30:00,FALSE,,Big Ten - East,Towson Tigers vs Maryland Terrapins,Unknown
1,Central Michigan Chippewas,185,Michigan State Spartans,97,-9.6,31,2023-08-29T23:00:00,FALSE,Mid-American - West,Big Ten - East,Central Michigan Chippewas vs Michigan State Spartans,Mid-American - West vs Big Ten - East
1,East Carolina Pirates,9,Michigan Wolverines,95,-25.1,36.8,2023-08-30T16:00:00,FALSE,American Athletic,Big Ten - East,East Carolina Pirates vs Michigan Wolverines,American Athletic vs Big Ten - East
1,Nebraska Cornhuskers,99,Minnesota Golden Gophers,104,-5.2,29.6,2023-08-29T00:00:00,FALSE,Big Ten - West,Big Ten - West,Nebraska Cornhuskers vs Minnesota Golden Gophers,Big Ten - West vs Big Ten - West
1,South Dakota Coyotes,321,Missouri Tigers,280,-18.6,30.6,2023-08-29T00:00:00,FALSE,,SEC - East,South Dakota Coyotes vs Missouri Tigers,Unknown
1,Mercer Bears,284,Ole Miss Rebels,274,-26.1,42,2023-08-30T18:00:00,FALSE,,SEC - West,Mercer Bears vs Ole Miss Rebels,Unknown
1,South Carolina Gamecocks,267,North Carolina Tar Heels,21,-1.7,43.7,2023-08-30T23:30:00,TRUE,SEC - East,Atlantic Coast,South Carolina Gamecocks vs North Carolina Tar Heels,SEC - East vs Atlantic Coast
1,Northwestern Wildcats,100,Rutgers Scarlet Knights,103,-3.8,26.5,2023-08-31T16:00:00,FALSE,Big Ten - West,Big Ten - East,Northwestern Wildcats vs Rutgers Scarlet Knights,Big Ten - West vs Big Ten - East
1,Western Illinois Leathernecks,322,New Mexico State Aggies,344,-13.8,36.5,2023-08-31T01:00:00,FALSE,,Conference USA,Western Illinois Leathernecks vs New Mexico State Aggies,Unknown
1,UMass Minutemen,55,Auburn Tigers,279,-24.4,35.4,2023-08-30T19:30:00,FALSE,FBS Independents,SEC - West,UMass Minutemen vs Auburn Tigers,FBS Independents vs SEC - West
1,West Virginia Mountaineers,107,Penn State Nittany Lions,101,-14.4,33.7,2023-08-30T23:30:00,FALSE,Big 12,Big Ten - East,West Virginia Mountaineers vs Penn State Nittany Lions,Big 12 vs Big Ten - East
1,Maine Black Bears,17,Florida International Panthers,140,-11.4,32,2023-08-30T22:30:00,FALSE,,Conference USA,Maine Black Bears vs Florida International Panthers,Unknown
1,Utah State Aggies,220,Iowa Hawkeyes,91,-16.2,29.9,2023-08-30T16:00:00,FALSE,Mountain West,Big Ten - West,Utah State Aggies vs Iowa Hawkeyes,Mountain West vs Big Ten - West
1,Bowling Green Falcons,181,Liberty Flames,84,-5.5,33.7,2023-08-30T16:00:00,FALSE,Mid-American - East,Conference USA,Bowling Green Falcons vs Liberty Flames,Mid-American - East vs Conference USA
1,Florida International Panthers,140,Louisiana Tech Bulldogs,137,-8.3,39.6,2023-08-24T01:00:00,FALSE,Conference USA,Conference USA,Florida International Panthers vs Louisiana Tech Bulldogs,Conference USA vs Conference USA
1,Hawaii Rainbow Warriors,115,Vanderbilt Commodores,273,-12,38.2,2023-08-24T01:10:00,FALSE,Mountain West,SEC - East,Hawaii Rainbow Warriors vs Vanderbilt Commodores,Mountain West vs SEC - East
1,Alabama A&M Bulldogs,309,Vanderbilt Commodores,273,-24.4,37.5,2023-08-30T23:00:00,FALSE,,SEC - East,Alabama A&M Bulldogs vs Vanderbilt Commodores,Unknown
1,Army Black Knights,263,UL Monroe Warhawks,326,4.5,32.3,2023-08-30T23:00:00,FALSE,FBS Independents,Sun Belt - West,Army Black Knights vs UL Monroe Warhawks,FBS Independents vs Sun Belt - West
1,New Mexico Lobos,214,Texas A&M Aggies,270,-26.5,33.7,2023-08-30T23:00:00,FALSE,Mountain West,SEC - West,New Mexico Lobos vs Texas A&M Aggies,Mountain West vs SEC - West
1,Fresno State Bulldogs,213,Purdue Boilermakers,94,-3.1,32.3,2023-08-30T16:00:00,FALSE,Mountain West,Big Ten - West,Fresno State Bulldogs vs Purdue Boilermakers,Mountain West vs Big Ten - West
1,Sam Houston Bearkats,295,BYU Cougars,336,-12.4,32,2023-08-31T02:15:00,FALSE,Conference USA,Big 12,Sam Houston Bearkats vs BYU Cougars,Conference USA vs Big 12
1,Florida Gators,271,Utah Utes,248,-3.8,30.6,2023-08-29T00:00:00,FALSE,SEC - East,Pac-12,Florida Gators vs Utah Utes,SEC - East vs Pac-12
1,Louisiana Tech Bulldogs,137,SMU Mustangs,1,-14.4,45.4,2023-08-30T16:00:00,FALSE,Conference USA,American Athletic,Louisiana Tech Bulldogs vs SMU Mustangs,Conference USA vs American Athletic
1,Tennessee Volunteers,277,Virginia Cavaliers,22,18.9,38.2,2023-08-30T16:00:00,TRUE,SEC - East,Atlantic Coast,Tennessee Volunteers vs Virginia Cavaliers,SEC - East vs Atlantic Coast
1,Incarnate Word Cardinals,294,UTEP Miners,139,-5.2,39.6,2023-08-31T01:00:00,FALSE,,Conference USA,Incarnate Word Cardinals vs UTEP Miners,Unknown
1,Buffalo Bulls,179,Wisconsin Badgers,96,-20,35.8,2023-08-30T19:30:00,FALSE,Mid-American - East,Big Ten - West,Buffalo Bulls vs Wisconsin Badgers,Mid-American - East vs Big Ten - West
1,Middle Tennessee Blue Raiders,135,Alabama Crimson Tide,275,-26.8,35.8,2023-08-30T23:30:00,FALSE,Conference USA,SEC - West,Middle Tennessee Blue Raiders vs Alabama Crimson Tide,Conference USA vs SEC - West
1,SE Louisiana Lions,300,Mississippi State Bulldogs,278,-22.7,42.3,2023-08-30T20:00:00,FALSE,,SEC - West,SE Louisiana Lions vs Mississippi State Bulldogs,Unknown
1,Toledo Rockets,183,Illinois Fighting Illini,102,-5.5,31.3,2023-08-30T23:30:00,FALSE,Mid-American - West,Big Ten - West,Toledo Rockets vs Illinois Fighting Illini,Mid-American - West vs Big Ten - West
1,NC State Wolfpack,33,UConn Huskies,3,6.9,32.7,2023-08-28T23:30:00,FALSE,Atlantic Coast,FBS Independents,NC State Wolfpack vs UConn Huskies,Atlantic Coast vs FBS Independents
1,LSU Tigers,269,Florida State Seminoles,29,0.9,38.9,2023-08-31T23:30:00,TRUE,SEC - West,Atlantic Coast,LSU Tigers vs Florida State Seminoles,SEC - West vs Atlantic Coast
1,UTEP Miners,139,Jacksonville State Gamecocks,238,0.7,37.5,2023-08-23T21:30:00,FALSE,Conference USA,Conference USA,UTEP Miners vs Jacksonville State Gamecocks,Conference USA vs Conference USA
