Week,AwayTeamName,HomeTeamName,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,TeamsConcatenated,ConferenceConcatenated
1,Towson Tigers,Maryland Terrapins,-26.1,37.8,2023-08-30T19:30:00,False,Towson Tigers vs Maryland Terrapins,Unknown vs Big Ten - East
1,Central Michigan Chippewas,Michigan State Spartans,-9.6,31.0,2023-08-29T23:00:00,False,Central Michigan Chippewas vs Michigan State Spartans,Mid-American - West vs Big Ten - East
1,East Carolina Pirates,Michigan Wolverines,-25.1,36.8,2023-08-30T16:00:00,False,East Carolina Pirates vs Michigan Wolverines,American Athletic vs Big Ten - East
1,Nebraska Cornhuskers,Minnesota Golden Gophers,-5.2,29.6,2023-08-29T00:00:00,False,Nebraska Cornhuskers vs Minnesota Golden Gophers,Big Ten - West vs Big Ten - West
1,South Dakota Coyotes,Missouri Tigers,-18.6,30.6,2023-08-29T00:00:00,False,South Dakota Coyotes vs Missouri Tigers,Unknown vs SEC - East
1,Mercer Bears,Ole Miss Rebels,-26.1,42.0,2023-08-30T18:00:00,False,Mercer Bears vs Ole Miss Rebels,Unknown vs SEC - West
1,South Carolina Gamecocks,North Carolina Tar Heels,-1.7,43.7,2023-08-30T23:30:00,True,South Carolina Gamecocks vs North Carolina Tar Heels,SEC - East vs Atlantic Coast
1,Northwestern Wildcats,Rutgers Scarlet Knights,-3.8,26.5,2023-08-31T16:00:00,False,Northwestern Wildcats vs Rutgers Scarlet Knights,Big Ten - West vs Big Ten - East
1,Western Illinois Leathernecks,New Mexico State Aggies,-13.8,36.5,2023-08-31T01:00:00,False,Western Illinois Leathernecks vs New Mexico State Aggies,Unknown vs Conference USA
1,UMass Minutemen,Auburn Tigers,-24.4,35.4,2023-08-30T19:30:00,False,UMass Minutemen vs Auburn Tigers,FBS Independents vs SEC - West
1,West Virginia Mountaineers,Penn State Nittany Lions,-14.4,33.7,2023-08-30T23:30:00,False,West Virginia Mountaineers vs Penn State Nittany Lions,Big 12 vs Big Ten - East
1,Maine Black Bears,Florida International Panthers,-11.4,32.0,2023-08-30T22:30:00,False,Maine Black Bears vs Florida International Panthers,Unknown vs Conference USA
1,Utah State Aggies,Iowa Hawkeyes,-16.2,29.9,2023-08-30T16:00:00,False,Utah State Aggies vs Iowa Hawkeyes,Mountain West vs Big Ten - West
1,Bowling Green Falcons,Liberty Flames,-5.5,33.7,2023-08-30T16:00:00,False,Bowling Green Falcons vs Liberty Flames,Mid-American - East vs Conference USA
1,Florida International Panthers,Louisiana Tech Bulldogs,-8.3,39.6,2023-08-24T01:00:00,False,Florida International Panthers vs Louisiana Tech Bulldogs,Conference USA vs Conference USA
1,Hawaii Rainbow Warriors,Vanderbilt Commodores,-12.0,38.2,2023-08-24T01:10:00,False,Hawaii Rainbow Warriors vs Vanderbilt Commodores,Mountain West vs SEC - East
1,Alabama A&M Bulldogs,Vanderbilt Commodores,-24.4,37.5,2023-08-30T23:00:00,False,Alabama A&M Bulldogs vs Vanderbilt Commodores,Unknown vs SEC - East
1,Army Black Knights,UL Monroe Warhawks,4.5,32.3,2023-08-30T23:00:00,False,Army Black Knights vs UL Monroe Warhawks,FBS Independents vs Sun Belt - West
1,New Mexico Lobos,Texas A&M Aggies,-26.5,33.7,2023-08-30T23:00:00,False,New Mexico Lobos vs Texas A&M Aggies,Mountain West vs SEC - West
1,Fresno State Bulldogs,Purdue Boilermakers,-3.1,32.3,2023-08-30T16:00:00,False,Fresno State Bulldogs vs Purdue Boilermakers,Mountain West vs Big Ten - West
1,Sam Houston Bearkats,BYU Cougars,-12.4,32.0,2023-08-31T02:15:00,False,Sam Houston Bearkats vs BYU Cougars,Conference USA vs Big 12
1,Florida Gators,Utah Utes,-3.8,30.6,2023-08-29T00:00:00,False,Florida Gators vs Utah Utes,SEC - East vs Pac-12
1,Louisiana Tech Bulldogs,SMU Mustangs,-14.4,45.4,2023-08-30T16:00:00,False,Louisiana Tech Bulldogs vs SMU Mustangs,Conference USA vs American Athletic
1,Tennessee Volunteers,Virginia Cavaliers,18.9,38.2,2023-08-30T16:00:00,True,Tennessee Volunteers vs Virginia Cavaliers,SEC - East vs Atlantic Coast
1,Incarnate Word Cardinals,UTEP Miners,-5.2,39.6,2023-08-31T01:00:00,False,Incarnate Word Cardinals vs UTEP Miners,Unknown vs Conference USA
1,Buffalo Bulls,Wisconsin Badgers,-20.0,35.8,2023-08-30T19:30:00,False,Buffalo Bulls vs Wisconsin Badgers,Mid-American - East vs Big Ten - West
1,Middle Tennessee Blue Raiders,Alabama Crimson Tide,-26.8,35.8,2023-08-30T23:30:00,False,Middle Tennessee Blue Raiders vs Alabama Crimson Tide,Conference USA vs SEC - West
1,SE Louisiana Lions,Mississippi State Bulldogs,-22.7,42.3,2023-08-30T20:00:00,False,SE Louisiana Lions vs Mississippi State Bulldogs,Unknown vs SEC - West
1,Toledo Rockets,Illinois Fighting Illini,-5.5,31.3,2023-08-30T23:30:00,False,Toledo Rockets vs Illinois Fighting Illini,Mid-American - West vs Big Ten - West
1,NC State Wolfpack,UConn Huskies,6.9,32.7,2023-08-28T23:30:00,False,NC State Wolfpack vs UConn Huskies,Atlantic Coast vs FBS Independents
1,LSU Tigers,Florida State Seminoles,0.9,38.9,2023-08-31T23:30:00,True,LSU Tigers vs Florida State Seminoles,SEC - West vs Atlantic Coast
1,UTEP Miners,Jacksonville State Gamecocks,0.7,37.5,2023-08-23T21:30:00,False,UTEP Miners vs Jacksonville State Gamecocks,Conference USA vs Conference USA
1,UT Martin Skyhawks,Georgia Bulldogs,-35.4,38.9,2023-08-30T22:00:00,False,UT Martin Skyhawks vs Georgia Bulldogs,Unknown vs SEC - East
1,Western Carolina Catamounts,Arkansas Razorbacks,-25.8,41.6,2023-08-30T17:00:00,False,Western Carolina Catamounts vs Arkansas Razorbacks,Unknown vs SEC - West
1,Ohio State Buckeyes,Indiana Hoosiers,21.0,40.6,2023-08-30T19:30:00,False,Ohio State Buckeyes vs Indiana Hoosiers,Big Ten - East vs Big Ten - East
1,Ball State Cardinals,Kentucky Wildcats,-17.5,33.4,2023-08-30T16:00:00,False,Ball State Cardinals vs Kentucky Wildcats,Mid-American - West vs SEC - East
1,South Florida Bulls,Western Kentucky Hilltoppers,-8.3,48.5,2023-08-30T19:30:00,False,South Florida Bulls vs Western Kentucky Hilltoppers,American Athletic vs Conference USA
1,Northern Arizona Lumberjacks,Arizona Wildcats,-19.6,41.6,2023-08-31T02:00:00,False,Northern Arizona Lumberjacks vs Arizona Wildcats,Unknown vs Pac-12
1,Oregon State Beavers,San Jose State Spartans,6.6,38.9,2023-08-31T19:30:00,False,Oregon State Beavers vs San Jose State Spartans,Pac-12 vs Mountain West
1,Portland State Vikings,Oregon Ducks,-33.7,45.4,2023-08-30T19:00:00,False,Portland State Vikings vs Oregon Ducks,Unknown vs Pac-12
1,California Golden Bears,North Texas Mean Green,2.1,36.5,2023-08-30T20:00:00,False,California Golden Bears vs North Texas Mean Green,Pac-12 vs American Athletic
1,Coastal Carolina Chanticleers,UCLA Bruins,-10.7,45.8,2023-08-31T02:30:00,False,Coastal Carolina Chanticleers vs UCLA Bruins,Sun Belt - East vs Pac-12
1,Colorado Buffaloes,TCU Horned Frogs,-14.4,43.3,2023-08-30T16:00:00,False,Colorado Buffaloes vs TCU Horned Frogs,Pac-12 vs Big 12
1,Boise State Broncos,Washington Huskies,-9.6,40.2,2023-08-30T19:30:00,False,Boise State Broncos vs Washington Huskies,Mountain West vs Pac-12
1,San Jose State Spartans,USC Trojans,-21.3,45.8,2023-08-24T00:00:00,False,San Jose State Spartans vs USC Trojans,Mountain West vs Pac-12
1,Nevada Wolf Pack,USC Trojans,-26.1,43.0,2023-08-30T22:30:00,False,Nevada Wolf Pack vs USC Trojans,Mountain West vs Pac-12
1,Washington State Cougars,Colorado State Rams,4.5,37.2,2023-08-30T23:00:00,False,Washington State Cougars vs Colorado State Rams,Pac-12 vs Mountain West
1,Stanford Cardinal,Hawaii Rainbow Warriors,0.9,37.5,2023-08-30T03:00:00,False,Stanford Cardinal vs Hawaii Rainbow Warriors,Pac-12 vs Mountain West
1,Southern Utah Thunderbirds,Arizona State Sun Devils,-24.1,42.0,2023-08-29T02:00:00,False,Southern Utah Thunderbirds vs Arizona State Sun Devils,Unknown vs Pac-12
1,UMass Minutemen,New Mexico State Aggies,-4.8,31.0,2023-08-23T23:00:00,False,UMass Minutemen vs New Mexico State Aggies,FBS Independents vs Conference USA
1,Navy Midshipmen,Notre Dame Fighting Irish,-14.4,34.1,2023-08-23T18:30:00,True,Navy Midshipmen vs Notre Dame Fighting Irish,American Athletic vs FBS Independents
1,Tennessee State Tigers,Notre Dame Fighting Irish,-32.0,37.5,2023-08-30T19:30:00,False,Tennessee State Tigers vs Notre Dame Fighting Irish,Unknown vs FBS Independents
1,Northern Illinois Huskies,Boston College Eagles,-6.2,34.7,2023-08-30T16:00:00,False,Northern Illinois Huskies vs Boston College Eagles,Mid-American - West vs Atlantic Coast
1,Clemson Tigers,Duke Blue Devils,5.7,37.5,2023-09-02T00:00:00,False,Clemson Tigers vs Duke Blue Devils,Atlantic Coast vs Atlantic Coast
1,Elon Phoenix,Wake Forest Demon Deacons,-22.7,37.2,2023-08-28T23:00:00,False,Elon Phoenix vs Wake Forest Demon Deacons,Unknown vs Atlantic Coast
1,Colgate Raiders,Syracuse Orange,-27.2,34.4,2023-08-30T20:00:00,False,Colgate Raiders vs Syracuse Orange,Unknown vs Atlantic Coast
1,Wofford Terriers,Pittsburgh Panthers,-25.1,33.7,2023-08-30T19:30:00,False,Wofford Terriers vs Pittsburgh Panthers,Unknown vs Atlantic Coast
1,Miami (OH) RedHawks,Miami Hurricanes,-11.4,31.0,2023-08-29T23:00:00,False,Miami (OH) RedHawks vs Miami Hurricanes,Mid-American - East vs Atlantic Coast
1,Old Dominion Monarchs,Virginia Tech Hokies,-11.4,33.0,2023-08-31T00:00:00,False,Old Dominion Monarchs vs Virginia Tech Hokies,Sun Belt - East vs Atlantic Coast
1,Louisville Cardinals,Georgia Tech Yellow Jackets,3.3,34.1,2023-08-29T23:30:00,True,Louisville Cardinals vs Georgia Tech Yellow Jackets,Atlantic Coast vs Atlantic Coast
1,Central Arkansas Bears,Oklahoma State Cowboys,-18.6,40.9,2023-08-30T23:00:00,False,Central Arkansas Bears vs Oklahoma State Cowboys,Unknown vs Big 12
1,Arkansas State Red Wolves,Oklahoma Sooners,-25.1,39.6,2023-08-30T16:00:00,False,Arkansas State Red Wolves vs Oklahoma Sooners,Sun Belt - West vs Big 12
1,Kent State Golden Flashes,UCF Knights,-24.1,37.2,2023-08-28T23:00:00,False,Kent State Golden Flashes vs UCF Knights,Mid-American - East vs Big 12
1,Eastern Kentucky Colonels,Cincinnati Bearcats,-15.5,39.9,2023-08-30T19:30:00,False,Eastern Kentucky Colonels vs Cincinnati Bearcats,Unknown vs Big 12
1,Missouri State Bears,Kansas Jayhawks,-22.4,42.0,2023-08-30T00:00:00,False,Missouri State Bears vs Kansas Jayhawks,Unknown vs Big 12
1,Southeast Missouri State Redhawks,Kansas State Wildcats,-19.6,38.5,2023-08-30T23:00:00,False,Southeast Missouri State Redhawks vs Kansas State Wildcats,Unknown vs Big 12
1,Texas State Bobcats,Baylor Bears,-18.9,40.6,2023-08-30T23:00:00,False,Texas State Bobcats vs Baylor Bears,Sun Belt - West vs Big 12
1,UTSA Roadrunners,Houston Cougars,0.9,40.9,2023-08-30T23:00:00,False,UTSA Roadrunners vs Houston Cougars,American Athletic vs Big 12
1,Rice Owls,Texas Longhorns,-24.1,40.6,2023-08-30T19:30:00,False,Rice Owls vs Texas Longhorns,American Athletic vs Big 12
