Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home
1,Towson Tigers,127,Maryland Terrapins,92,,,2023-08-30T19:30:00,False,,Big Ten - East
1,Central Michigan Chippewas,185,Michigan State Spartans,97,-9.6,34.1,2023-08-29T23:00:00,False,Mid-American - West,Big Ten - East
1,East Carolina Pirates,9,Michigan Wolverines,95,-23.7,35.4,2023-08-30T16:00:00,False,American Athletic,Big Ten - East
1,Nebraska Cornhuskers,99,Minnesota Golden Gophers,104,-4.8,31.3,2023-08-29T00:00:00,False,Big Ten - West,Big Ten - West
1,South Dakota Coyotes,321,Missouri Tigers,280,,,2023-08-29T00:00:00,False,,SEC - East
1,Mercer Bears,284,Ole Miss Rebels,274,,,2023-08-30T18:00:00,False,,SEC - West
1,South Carolina Gamecocks,267,North Carolina Tar Heels,21,-1.7,43.0,2023-08-30T23:30:00,True,SEC - East,Atlantic Coast
1,Northwestern Wildcats,100,Rutgers Scarlet Knights,103,-4.8,28.2,2023-08-31T16:00:00,False,Big Ten - West,Big Ten - East
1,Western Illinois Leathernecks,322,New Mexico State Aggies,344,,,2023-08-31T01:00:00,False,,Conference USA
1,UMass Minutemen,55,Auburn Tigers,279,-27.5,37.2,2023-08-30T19:30:00,False,FBS Independents,SEC - West
1,West Virginia Mountaineers,107,Penn State Nittany Lions,101,-14.1,35.8,2023-08-30T23:30:00,False,Big 12,Big Ten - East
1,Maine Black Bears,17,Florida International Panthers,140,,,2023-08-30T22:30:00,False,,Conference USA
1,Utah State Aggies,220,Iowa Hawkeyes,91,-16.2,29.6,2023-08-30T16:00:00,False,Mountain West,Big Ten - West
1,Bowling Green Falcons,181,Liberty Flames,84,-8.6,35.4,2023-08-30T16:00:00,False,Mid-American - East,Conference USA
1,Florida International Panthers,140,Louisiana Tech Bulldogs,137,-6.9,40.6,2023-08-24T01:00:00,False,Conference USA,Conference USA
1,Hawaii Rainbow Warriors,115,Vanderbilt Commodores,273,-12.4,37.8,2023-08-23T23:30:00,False,Mountain West,SEC - East
1,Alabama A&M Bulldogs,309,Vanderbilt Commodores,273,,,2023-08-30T23:00:00,False,,SEC - East
1,Army Black Knights,263,UL Monroe Warhawks,326,3.6,33.4,2023-08-30T23:00:00,False,FBS Independents,Sun Belt - West
1,New Mexico Lobos,214,Texas A&M Aggies,270,-25.8,33.0,2023-08-30T23:00:00,False,Mountain West,SEC - West
1,Fresno State Bulldogs,213,Purdue Boilermakers,94,-3.1,34.7,2023-08-30T16:00:00,False,Mountain West,Big Ten - West
1,Sam Houston Bearkats,295,BYU Cougars,336,-15.5,34.7,2023-08-31T02:15:00,False,Conference USA,Big 12
1,Florida Gators,271,Utah Utes,248,-4.8,31.6,2023-08-29T00:00:00,False,SEC - East,Pac-12
1,Louisiana Tech Bulldogs,137,SMU Mustangs,1,-12.7,45.1,2023-08-30T16:00:00,False,Conference USA,American Athletic
1,Tennessee Volunteers,277,Virginia Cavaliers,22,19.6,40.2,2023-08-30T16:00:00,True,SEC - East,Atlantic Coast
1,Incarnate Word Cardinals,294,UTEP Miners,139,,,2023-08-31T01:00:00,False,,Conference USA
1,Buffalo Bulls,179,Wisconsin Badgers,96,-18.2,38.2,2023-08-30T19:30:00,False,Mid-American - East,Big Ten - West
1,Middle Tennessee Blue Raiders,135,Alabama Crimson Tide,275,-26.8,37.8,2023-08-30T23:30:00,False,Conference USA,SEC - West
1,SE Louisiana Lions,300,Mississippi State Bulldogs,278,,,2023-08-30T20:00:00,False,,SEC - West
1,Toledo Rockets,183,Illinois Fighting Illini,102,-6.2,34.7,2023-08-30T23:30:00,False,Mid-American - West,Big Ten - West
1,NC State Wolfpack,33,UConn Huskies,3,10.3,33.0,2023-08-28T23:30:00,False,Atlantic Coast,FBS Independents
1,LSU Tigers,269,Florida State Seminoles,29,1.2,38.5,2023-08-31T23:30:00,True,SEC - West,Atlantic Coast
1,UTEP Miners,139,Jacksonville State Gamecocks,238,0.7,36.1,2023-08-23T21:30:00,False,Conference USA,Conference USA
1,UT Martin Skyhawks,241,Georgia Bulldogs,272,,,2023-08-30T22:00:00,False,,SEC - East
1,Western Carolina Catamounts,287,Arkansas Razorbacks,276,,,2023-08-30T20:00:00,False,,SEC - West
1,Ohio State Buckeyes,98,Indiana Hoosiers,93,19.6,41.3,2023-08-30T19:30:00,False,Big Ten - East,Big Ten - East
1,Ball State Cardinals,184,Kentucky Wildcats,268,-17.9,33.4,2023-08-30T16:00:00,False,Mid-American - West,SEC - East
1,South Florida Bulls,11,Western Kentucky Hilltoppers,144,-9.3,48.5,2023-08-30T19:30:00,False,American Athletic,Conference USA
1,Northern Arizona Lumberjacks,79,Arizona Wildcats,247,,,2023-08-31T02:00:00,False,,Pac-12
1,Oregon State Beavers,252,San Jose State Spartans,222,11.4,37.5,2023-08-31T19:30:00,False,Pac-12,Mountain West
1,Portland State Vikings,76,Oregon Ducks,245,,,2023-08-30T19:00:00,False,,Pac-12
1,California Golden Bears,251,North Texas Mean Green,141,3.8,39.6,2023-08-30T20:00:00,False,Pac-12,American Athletic
1,Coastal Carolina Chanticleers,81,UCLA Bruins,253,-11.0,44.4,2023-08-31T02:30:00,False,Sun Belt - East,Pac-12
1,Colorado Buffaloes,250,TCU Horned Frogs,114,-14.1,40.9,2023-08-30T16:00:00,False,Pac-12,Big 12
1,Boise State Broncos,215,Washington Huskies,249,-10.0,40.6,2023-08-30T19:30:00,False,Mountain West,Pac-12
1,San Jose State Spartans,222,USC Trojans,246,-21.0,44.0,2023-08-24T00:00:00,False,Mountain West,Pac-12
1,Nevada Wolf Pack,216,USC Trojans,246,-26.5,43.7,2023-08-30T22:30:00,False,Mountain West,Pac-12
1,Washington State Cougars,256,Colorado State Rams,217,5.7,39.9,2023-08-30T23:00:00,False,Pac-12,Mountain West
1,Stanford Cardinal,254,Hawaii Rainbow Warriors,115,3.3,40.2,2023-08-30T03:00:00,False,Pac-12,Mountain West
1,Southern Utah Thunderbirds,78,Arizona State Sun Devils,255,,,2023-08-29T02:00:00,False,,Pac-12
1,UMass Minutemen,55,New Mexico State Aggies,344,-5.2,30.6,2023-08-23T23:00:00,False,FBS Independents,Conference USA
1,Navy Midshipmen,258,Notre Dame Fighting Irish,25,-14.1,35.4,2023-08-23T18:30:00,True,American Athletic,FBS Independents
1,Tennessee State Tigers,235,Notre Dame Fighting Irish,25,,,2023-08-30T19:30:00,False,,FBS Independents
1,Northern Illinois Huskies,186,Boston College Eagles,35,-6.2,35.8,2023-08-30T16:00:00,False,Mid-American - West,Atlantic Coast
1,Clemson Tigers,27,Duke Blue Devils,26,6.2,37.8,2023-09-02T00:00:00,False,Atlantic Coast,Atlantic Coast
1,Elon Phoenix,130,Wake Forest Demon Deacons,34,,,2023-08-28T23:00:00,False,,Atlantic Coast
